Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6",0603,4,0.1μF,
C4,0603,1,2.2μF,
C5,0603,1,0.33μF,
C7,0603,1,22μF,
"C8, C9",0603,2,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D4, D5, D6, D7, D8, D9",0603,28,LED,
F1,MF-R050,1,MF-R050,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,POWER(5V),
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,INPUT_2,
"J11, J12, J13, J14, J2, J21, J5, J6, J7, J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,10,Conn_01x02_Socket,
"J15, J18, J19, J22, J23, J24",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,6,Conn_01x03_Socket,
"J16, J20",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Socket,
"J17, J4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,I2C,
"J25, J27",RJ45_Amphenol_RJHSE5380,2,RJ45_Shielded,
J26,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x04_P2.54mm_Vertical,1,FT234X,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,INPUT_1,
"JP3, JP4",PinHeader_1x02_P2.54mm_Vertical,2,Jumper_2_Open,
LS1,PKM13EPYH4000-A0,1,PKM13EPYH4000-A0,
"Q1, Q2",SOT-23,2,2SC2712,
"R1, R30",0603,2,240Ω,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R35, R36, R4, R5, R6, R7, R8, R9",0603,30,10kΩ,
"R33, R34",0603,2,5.1kΩ,
R37,0603,1,120Ω,
SW1,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,SW_Nidec_CAS-120A1,
SW2,DTS-63-N-V,1,BOOT,
SW3,DTS-63-N-V,1,EN,
U1,ESP32-WROOM-32E,1,ESP32-WROOM-32E,
U2,TO-252-3_TabPin2,1,NJM2845DL1-33,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U4,SOP-8_3.9x4.9mm_P1.27mm,1,ATA6561,
