Designator,Mid X,Mid Y,Rotation,Layer
C1,95.30625,-111.44375,0.0,top
C2,85.6375,-111.0,180.0,top
C3,105.3875,-101.75,0.0,top
C4,116.7,-84.655,90.0,top
C5,116.7,-88.155,270.0,top
C6,110.1375,-101.75,0.0,top
C7,127.3875,-104.46,0.0,top
C8,127.3875,-102.21,0.0,top
C9,138.625,-100.0025,270.0,top
D1,127.25,-117.75,90.0,top
D10,84.55,-61.75,0.0,top
D11,84.5875,-64.25,0.0,top
D12,84.625,-67.0,0.0,top
D13,84.625,-69.5,0.0,top
D14,84.625,-72.0,0.0,top
D15,84.625,-74.75,0.0,top
D16,84.625,-77.0,0.0,top
D17,84.625,-79.5,0.0,top
D18,84.625,-82.25,0.0,top
D19,84.625,-84.77,0.0,top
D2,130.5375,-84.75,180.0,top
D20,84.625,-87.25,0.0,top
D21,130.5375,-69.5,180.0,top
D22,130.5375,-67.0,180.0,top
D23,130.5375,-64.5,180.0,top
D24,130.5375,-61.75,180.0,top
D25,130.5375,-59.25,180.0,top
D26,130.5375,-57.0,180.0,top
D27,130.5375,-54.25,180.0,top
D28,130.5375,-51.75,180.0,top
D3,130.5375,-82.25,180.0,top
D4,130.5375,-79.75,180.0,top
D5,130.5375,-77.0,180.0,top
D6,130.5375,-74.5,180.0,top
D7,130.5375,-72.0,180.0,top
D8,84.55,-56.75,0.0,top
D9,84.55,-59.25,0.0,top
F1,116.65,-95.0,90.0,top
J1,120.5,-116.0,0.0,top
J10,74.75,-53.725,180.0,top
J11,74.5,-102.725,180.0,top
J12,138.5,-69.725,180.0,top
J13,138.5,-85.725,180.0,top
J14,138.5,-93.975,180.0,top
J15,64.525,-65.25,90.0,top
J16,91.775,-69.52,180.0,top
J17,138.5,-61.475,180.0,top
J18,149.5,-68.75,180.0,top
J19,149.5,-61.475,180.0,top
J2,138.5,-77.475,180.0,top
J20,122.975,-69.5,0.0,top
J21,74.75,-110.725,180.0,top
J22,64.525,-77.25,90.0,top
J23,64.525,-88.75,90.0,top
J24,64.525,-100.25,90.0,top
J25,151.125,-83.81,270.0,top
J26,110.0,-116.75,0.0,top
J27,151.085,-104.35,270.0,top
J3,109.49,-96.0,270.0,top
J4,138.5,-53.725,180.0,top
J5,74.5,-95.225,180.0,top
J6,74.75,-86.725,180.0,top
J7,74.75,-78.475,180.0,top
J8,74.75,-70.225,180.0,top
J9,74.75,-61.975,180.0,top
JP3,136.25,-112.25,180.0,top
JP4,140.0,-112.25,0.0,top
LS1,108.25,-76.0,0.0,top
Q1,95.25,-105.6875,270.0,top
Q2,85.75,-105.9375,270.0,top
R1,127.25,-114.25,270.0,top
R10,88.0,-74.75,0.0,top
R11,88.0,-77.0,0.0,top
R12,88.0,-79.51,0.0,top
R13,88.0,-82.25,0.0,top
R14,88.0,-84.75,0.0,top
R15,88.0,-87.25,0.0,top
R16,127.0,-84.75,180.0,top
R17,127.0,-82.25,180.0,top
R18,127.0,-79.75,180.0,top
R19,127.0,-77.0,180.0,top
R2,95.30625,-109.44375,180.0,top
R20,127.0,-74.5,180.0,top
R21,127.0,-72.0,180.0,top
R22,127.0,-69.5,180.0,top
R23,127.0,-67.0,180.0,top
R24,127.0,-64.5,180.0,top
R25,127.0,-61.75,180.0,top
R26,127.0,-59.25,180.0,top
R27,127.0,-57.0,180.0,top
R28,127.0,-54.25,180.0,top
R29,127.0,-51.75,180.0,top
R3,88.025,-56.75,0.0,top
R30,116.0,-73.0,0.0,top
R33,104.8375,-110.0,180.0,top
R34,110.6625,-110.0,0.0,top
R35,95.2,-101.7125,90.0,top
R36,85.7,-102.125,90.0,top
R37,138.4125,-116.75,180.0,top
R4,88.025,-59.25,0.0,top
R5,88.025,-61.75,0.0,top
R6,88.025,-64.25,0.0,top
R7,88.0,-67.0,0.0,top
R8,88.0,-69.51,0.0,top
R9,88.0,-72.0,0.0,top
SW1,116.535,-104.1,180.0,top
SW2,85.6375,-116.2,180.0,top
SW3,95.30625,-116.14375,180.0,top
U1,108.25,-56.01,0.0,top
U2,108.41,-86.4875,180.0,top
U3,108.0,-105.8875,0.0,top
U4,133.625,-103.365,270.0,top
