Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,C_Polarized,
"C5, C7",0603,2,1μF,
"C6, C8",0603,2,0.1μF,
"D1, D2, D3",0603,3,LED,
D4,0603,1,OSHR1608C1A,
D5,D_SOD-123F,1,GS1010FL,
"D6, D7, D8",D_SOD-123F,3,D,
"F1, F2, F3, F4, F5, F6, F7",3557-15_KEY,7,Fuse,
J1,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,XT60_IN,
"J10, J11, J12, J13, J14, J15, J16, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,8,XH_OUT,
"J17, J18, J19, J20, J21, J22, J23, J24",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,8,XH_3.3V_OUT,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Emergency Stop Switch,
"J25, J3, J4, J5, J6, J7, J8",AMASS_XT60-F_1x02_P7.20mm_Vertical,7,XT60_OUT,
Q1,TO-252-3_TabPin2,1,TTC014,
"R1, R2, R3, R4, R6",0603,5,10kΩ,
R5,0603,1,1kΩ,
SW1,KSD42,1,SW_DIP_x04,
U1,TO-252-3_TabPin2,1,NJM7805SDL1,
U2,TO-252-3_TabPin2,1,NJM2845DL1-33,
U3,953-1C-12DG-1,1,953-1C-12DG-1,
"U4, U5",134-1C-12DS,2,134-1C-12DS,
